label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
hello,0.0,0.0,0.0,-0.1462042487817896,-0.055686262902384195,-0.04473443046219374,-0.2649779368693222,-0.19919739185771895,-0.06280818166226287,-0.351847044237496,-0.31581866555654803,-0.07870093999996841,-0.4343855431234786,-0.37087466241715283,-0.09542564879671979,-0.16135545868539738,-0.48668511666032516,-0.02678829178456847,-0.1997983454203548,-0.6824446416644905,-0.05265562071116363,-0.21955495636307562,-0.8033339841913122,-0.07792122924825609,-0.23198096502983045,-0.9049574849701935,-0.09998805382357126,-0.06503322001402607,-0.5160452405174846,-0.037435715652087524,-0.07579758348685785,-0.7454567328234363,-0.05873452880699347,-0.08283601577526972,-0.8871234193818505,-0.08460152056846819,-0.08958075038991803,-1.0,-0.1068218656727829,0.02510160306797583,-0.49795523974886746,-0.056279274497366805,0.035975387065558265,-0.7091885074076072,-0.08977650389520542,0.035286973467432356,-0.8400074283741934,-0.12105592677354765,0.02903482217493821,-0.9539911518324358,-0.14566030378549846,0.10966333137757672,-0.4431779501410961,-0.07912631706395602,0.16772934747270574,-0.5908619539774982,-0.1158384487065863,0.2036442954526033,-0.691129251323955,-0.13726368684660925,0.23116985913300944,-0.7874333487215892,-0.15351187092897825
hello,0.0,0.0,0.0,-0.1452794377165599,-0.05591174641525546,-0.04538998772414343,-0.2632561518488378,-0.19923746380693236,-0.06449016563366078,-0.35072979517061686,-0.31464015164986636,-0.08139819937880172,-0.4335504276907943,-0.3704765676963424,-0.0990645671904502,-0.1609504458407349,-0.48583724620814467,-0.028039334357312748,-0.20008710252907153,-0.6813691051062485,-0.05486638282419414,-0.22024308413032115,-0.8023574109019084,-0.08071182419356085,-0.23276530193466813,-0.904266367420198,-0.10311767996970306,-0.06499588236948095,-0.5157239255600381,-0.03873347792716164,-0.07586827916938196,-0.7448759953764912,-0.06079953848351699,-0.08289701312223517,-0.8869823919320697,-0.08701377284889707,-0.08969078124800843,-1.0,-0.10943035771273456,0.025016747640448055,-0.49791702937507254,-0.05767737993142205,0.03561990281809573,-0.7084192953249773,-0.09158866061595647,0.03482229838110837,-0.8391858457960618,-0.12287982409159275,0.02853464721971983,-0.95273048001819,-0.14746775432383227,0.10956195867933548,-0.4431753383075882,-0.0807162220454137,0.16827343606301534,-0.5899496398821695,-0.1175966017162009,0.2044216062200925,-0.6901554999260779,-0.1390878236516405,0.23201390776192568,-0.7862228202611194,-0.15539020099310574
hello,0.0,0.0,0.0,-0.1458210248006352,-0.054941279944822126,-0.04550775071577242,-0.26366270998659125,-0.19711691040584836,-0.06458313696182494,-0.35053482205633046,-0.3124904284648766,-0.08138709468896105,-0.4329857919273339,-0.3706739048158809,-0.09887158617645303,-0.16175541094872864,-0.48588864519001956,-0.02768246125918356,-0.2012066531191652,-0.6809139961526726,-0.05427760711601211,-0.22186474700021883,-0.8015605469055823,-0.0798883617597104,-0.2349188887586163,-0.9029908922904889,-0.10209611343332077,-0.06590811097137572,-0.5157381816126466,-0.038234458134423444,-0.077065895317099,-0.7452987770203721,-0.060160043458858864,-0.08431897071578087,-0.8874154029057748,-0.08619034641393786,-0.09121152624787039,-1.0,-0.10842402000062551,0.023955762226454597,-0.497917081194497,-0.05711037573672955,0.034193342527099144,-0.708798050061086,-0.09111525927239066,0.03296131171181631,-0.839637641252944,-0.12244285792746823,0.02636864836748279,-0.9532009695845735,-0.14699759297782836,0.1084610079050855,-0.44329727116249706,-0.08006425363583058,0.16700815485244846,-0.590828473889616,-0.11702353112193777,0.2029735441814423,-0.6910595846918071,-0.13862434960514972,0.23027604975632446,-0.7872142240363637,-0.15499296360103507
hello,0.0,0.0,0.0,-0.14523561775235339,-0.054904091319840524,-0.046207633297161994,-0.2627972961596223,-0.19684144928248254,-0.06572708107189316,-0.3497664559423935,-0.31183293866752654,-0.082833423095824,-0.43208481566535073,-0.36976340800462865,-0.10049082654380956,-0.16075567869202925,-0.486495608513143,-0.027914497524890166,-0.1999595993225851,-0.6816777681082203,-0.05435708670747762,-0.22075502522180426,-0.8019422375249792,-0.07995680662155344,-0.23399022990465773,-0.903464799299976,-0.10221080071981103,-0.06524590156114991,-0.5164122385910419,-0.03820806365738865,-0.07685229593424658,-0.7457624960082271,-0.05995689724881092,-0.08443245514725856,-0.8878260166529971,-0.08588960078630282,-0.09145530442530514,-1.0,-0.10813105016418248,0.024239452477808843,-0.4984262576738034,-0.05690450563125986,0.03402748247733901,-0.7093006222992183,-0.09065001809143454,0.032708331196835486,-0.8394595371952152,-0.12174781945031872,0.02627322353284606,-0.9522935731680355,-0.14624265000000405,0.108560769988259,-0.4437505470428207,-0.07978808490232575,0.16690087452918542,-0.591346957154056,-0.11652219216063894,0.20306964060807073,-0.6912898381325634,-0.13808359725517869,0.23078641325695523,-0.7871543971272114,-0.15448183631986723
hello,0.0,0.0,0.0,-0.1450674004390714,-0.05545148475055992,-0.04703409696873792,-0.26247639781121457,-0.19668235943182052,-0.06760891521469126,-0.35054857179535576,-0.3114520379835726,-0.08571846705201325,-0.4336568358281035,-0.36844745547200175,-0.10447939536210799,-0.1613384876718442,-0.4848897278231121,-0.03011889850594628,-0.20054056749175309,-0.6807526490615289,-0.05752813717727773,-0.2215543478842276,-0.8012684719841733,-0.0836014218779397,-0.2349034822350308,-0.9030377955956844,-0.10617084177988602,-0.0655602133767769,-0.514973778741945,-0.04038380000238809,-0.07736130776948523,-0.7446209742555615,-0.06323069606144342,-0.0852506092058279,-0.8868929337472902,-0.08989042972444963,-0.09259011623242205,-1.0,-0.11263734959583059,0.02434378082803088,-0.4969620897842162,-0.05899000908778847,0.034904972296321994,-0.7077348413008312,-0.09365914455995833,0.034170066426168225,-0.8384770694849966,-0.12540259005733698,0.02797418144056069,-0.9521839331657842,-0.15028100201114353,0.1089054277201833,-0.4420883858509893,-0.08177159556941754,0.1679641025131603,-0.5893172348130279,-0.11900148733556809,0.20436735054112148,-0.6895269131813878,-0.1407587820452392,0.23203435011549886,-0.7857892663625923,-0.15731170338681397
hello,0.0,0.0,0.0,-0.14547562246614135,-0.05466673025705747,-0.04598821657540824,-0.2631186093029782,-0.1966741939166052,-0.06536359876821785,-0.35033340317773404,-0.3114335570406999,-0.08243044568404331,-0.4325848047323854,-0.36868791970195014,-0.10020893686452874,-0.1606565392763041,-0.48477914823344986,-0.028479683193723297,-0.20023067271042727,-0.680626762550664,-0.05481316163440862,-0.22157718395874149,-0.8011297892766264,-0.08011590703495432,-0.23525055019771504,-0.9025534072156284,-0.10221880139551308,-0.06519027156772894,-0.514458196741699,-0.03898957966312465,-0.07741633578896316,-0.744193855974735,-0.06123401873835041,-0.08545479136169418,-0.8869291240695788,-0.08774404465620872,-0.09268690932129622,-1.0,-0.11040481102258265,0.024333349994779572,-0.4964347130777219,-0.05777792635163356,0.034841136929350834,-0.7079607960466637,-0.09238588657956788,0.03441863320666338,-0.8387724839413974,-0.12456016568915536,0.028760616122140526,-0.9521728172944475,-0.14968316798055775,0.10865831388742046,-0.4418937313862643,-0.08060204888897991,0.16799044005362027,-0.589719524842288,-0.11824768556413627,0.20502697316280225,-0.6902195544175486,-0.14059451614888,0.2334286759530598,-0.7864701036127124,-0.15750809208146388
hello,0.0,0.0,0.0,-0.14460728766528466,-0.055154938590193096,-0.04541184650872219,-0.2623765185810135,-0.1973894404461043,-0.06485687287618308,-0.348570024701045,-0.31297214323939826,-0.08200530435030412,-0.4302282132783829,-0.3680402377546998,-0.09982374809876864,-0.1599777366834324,-0.4846762106273532,-0.029922406467318897,-0.1998061244117552,-0.680828884796383,-0.05684460829313939,-0.22175653568320194,-0.8012408608990266,-0.08226560446704846,-0.23581489642510936,-0.9022450431268437,-0.10428714194045723,-0.06507639802772536,-0.5147274029241314,-0.040811503036597044,-0.07776125116411055,-0.7440706065182573,-0.06380976853569337,-0.08568720135446285,-0.8867240453341306,-0.0902683526249447,-0.09254188417361958,-1.0,-0.11265224033517497,0.02427491863129167,-0.497073964108258,-0.05979136130554324,0.03522469952140535,-0.7078369159688351,-0.09480041470512691,0.0353936264828721,-0.8384453577461677,-0.12680021854416829,0.030379904738144167,-0.9515432915808859,-0.15157014602174784,0.10843187406085561,-0.4424769415649836,-0.0827323020973098,0.16828239179247315,-0.5907466305070285,-0.12036316335818675,0.2053247225655568,-0.6909175571675881,-0.14240781044938636,0.23371587894393034,-0.7866598645156253,-0.15892482503195393
hello,0.0,0.0,0.0,-0.14607946119477144,-0.05341519453229692,-0.04430973890204111,-0.26501953397616096,-0.19682444860165696,-0.061428469677116695,-0.3501847164798541,-0.3137460025734066,-0.07633858504214552,-0.43087649696569535,-0.3659831085056282,-0.091886383140721,-0.16295113814410792,-0.4840978046964433,-0.02656411540829622,-0.20230930137392855,-0.681086509242017,-0.05136276134479567,-0.22315865895121056,-0.8017376449565851,-0.07525090152257129,-0.2362957998021116,-0.9030643165871349,-0.09635803446079476,-0.06771527508821373,-0.5156191301009021,-0.037114641975313646,-0.08038546792221471,-0.7446736627884543,-0.058148668394414973,-0.08791675539250644,-0.8871537369894572,-0.08345309925566777,-0.09444516695463859,-1.0,-0.10513519945465184,0.02190091955698533,-0.4991418008034631,-0.0557695237067466,0.03277344351058017,-0.7090263119157493,-0.08944594021180123,0.03262833805664448,-0.8391514141588814,-0.12129305618135672,0.027524399010462743,-0.9514445995856444,-0.14604432609226883,0.10640050343875154,-0.4458800007431533,-0.07836800105224097,0.16709259833562234,-0.5936096434626563,-0.11523561805006344,0.2045478126281761,-0.6935647207958601,-0.13747244529978153,0.23368113862525206,-0.788761901767514,-0.15419865950992148
hello,0.0,0.0,0.0,-0.14706738071991407,-0.053170770489993587,-0.042551347761942644,-0.2661723470429955,-0.19601688240600024,-0.05857312245842902,-0.3508471041014973,-0.3125911465557493,-0.07272218040652308,-0.4314587433677147,-0.3647154892852928,-0.0875832277265641,-0.16384759390252063,-0.4842808952624668,-0.024182690759074952,-0.20374893207552278,-0.6807770924885038,-0.04816865494020638,-0.22484326462582271,-0.8011356367518165,-0.07164757097469798,-0.23811355490490252,-0.9022176794718462,-0.09250276446707462,-0.06860655708012241,-0.5161793537333839,-0.03531922485582295,-0.08225244409566697,-0.7453156699911744,-0.05543265947920715,-0.09028830767359386,-0.8876166899937026,-0.08029868274103792,-0.09694695144144304,-1.0,-0.10179930204667204,0.02102264505136047,-0.5001182081099533,-0.054492106623690056,0.031774244626345115,-0.710631313290195,-0.08734985012238701,0.031266140411787484,-0.8403719589772101,-0.11883684427508939,0.025992724100174128,-0.9522707110618196,-0.14354533020651306,0.10554220630098797,-0.4471145495689503,-0.07751178951327586,0.16612243271527652,-0.5946370315121848,-0.11389131247491524,0.20334330666596503,-0.6949014363619967,-0.1359703352637229,0.23235167217764316,-0.790625315181906,-0.1526912418169708
hello,0.0,0.0,0.0,-0.1470436073440385,-0.05266199921641903,-0.04337011081218363,-0.26633553959188483,-0.195930612994564,-0.05993661504239112,-0.3511040516684845,-0.31398887475188947,-0.07442834637546218,-0.4310369377056942,-0.36543255285560633,-0.08966219867507307,-0.16535074353196524,-0.48350864277226163,-0.026164471241029993,-0.20509886310209305,-0.6804056945429006,-0.050994738464640726,-0.22628272057139345,-0.8013412496081023,-0.07473442226459753,-0.2398244946419946,-0.9023949748615803,-0.09569532644591582,-0.06948491730570369,-0.5154473611916913,-0.037168217347257504,-0.08375364172330801,-0.7449007293290238,-0.05842440935538944,-0.09250259640446068,-0.8873467689964877,-0.08373219059853554,-0.09971108371421956,-1.0,-0.10534127231056702,0.020528887123869338,-0.4994986902738191,-0.05614382311021478,0.030010989105802927,-0.7103462767200134,-0.09003420061862845,0.029054179442521085,-0.8409935070701761,-0.12182449007786272,0.023543752805611235,-0.953569800509094,-0.14653583239573031,0.10495980822620826,-0.4465223624942434,-0.07895388042298013,0.1645184449707406,-0.5945918993706231,-0.1162408082969688,0.20163400323833736,-0.6952853432652388,-0.1386124907160536,0.2308170793194353,-0.791258996487233,-0.1553503794491765
